[Header]
Application Name	LabSolutions
6,46400	-9675
6,47467	-9702
6,48533	-9728
6,49600	-9784
6,50667	-9785
6,51733	-9771
6,52800	-9806
6,53867	-9786
6,54933	-9806
6,56000	-9824
6,57067	-9810
6,58133	-9773
6,59200	-9798
6,60267	-9810
6,61333	-9798
6,62400	-9779
6,63467	-9818
6,64533	-9794
6,65600	-9800
6,66667	-9787
6,67733	-9754
6,68800	-9782
6,69867	-9794
6,70933	-9791
6,72000	-9810
6,73067	-9815
6,74133	-9826
6,75200	-9836
6,76267	-9846
6,77333	-9858
6,78400	-9865
6,79467	-9879
6,80533	-9873
6,81600	-9841
6,82667	-9824
6,83733	-9816
6,84800	-9812
6,85867	-9808
6,86933	-9766
6,88000	-9774
6,89067	-9738
6,90133	-9744
6,91200	-9730
6,92267	-9705
6,93333	-9717
6,94400	-9739
6,95467	-9737
6,96533	-9748
6,97600	-9749
6,98667	-9737
6,99733	-9739
7,00800	-9707
7,01867	-9676
7,02933	-9680
7,04000	-9643
7,05067	-9645
7,06133	-9648
7,07200	-9644
7,08267	-9622
7,09333	-9624
7,10400	-9609
7,11467	-9582
7,12533	-9570
7,13600	-9581
7,14667	-9581
7,15733	-9509
7,16800	-9501
7,17867	-9474
7,18933	-9482
7,20000	-9444
7,21067	-9417
7,22133	-9394
7,23200	-9434
7,24267	-9413
7,25333	-9390
7,26400	-9390
7,27467	-9402
7,28533	-9386
7,29600	-9405
7,30667	-9406
7,31733	-9376
7,32800	-9352
7,33867	-9318
7,34933	-9289
7,36000	-9312
7,37067	-9303
7,38133	-9326
7,39200	-9302
7,40267	-9293
7,41333	-9319
7,42400	-9316
7,43467	-9331
7,44533	-9336
7,45600	-9319
7,46667	-9318
7,47733	-9272
7,48800	-9285
7,49867	-9269
7,50933	-9273
7,52000	-9290
7,53067	-9264
7,54133	-9225
7,55200	-9215
7,56267	-9166
7,57333	-9135
7,58400	-9126
7,59467	-9120
7,60533	-9104
7,61600	-9117
7,62667	-9137
7,63733	-9124
7,64800	-9115
7,65867	-9130
7,66933	-9111
7,68000	-9143
7,69067	-9133
7,70133	-9118
7,71200	-9121
7,72267	-9100
7,73333	-9042
7,74400	-9028
7,75467	-9019
7,76533	-8976
7,77600	-8981
7,78667	-8954
7,79733	-8971
7,80800	-8959
7,81867	-8961
7,82933	-8967
7,84000	-8945
7,85067	-8953
7,86133	-8959
7,87200	-8949
7,88267	-8950
7,89333	-8935
7,90400	-8892
7,91467	-8908
7,92533	-8912
7,93600	-8887
7,94667	-8886
7,95733	-8811
7,96800	-8784
7,97867	-8760
7,98933	-8707
8,00000	-8668
8,01067	-8645
8,02133	-8562
8,03200	-8541
8,04267	-8524
8,05333	-8477
8,06400	-8495
8,07467	-8511
8,08533	-8512
8,09600	-8507
8,10667	-8520
8,11733	-8555
8,12800	-8577
8,13867	-8602
8,14933	-8596
8,16000	-8576
8,17067	-8595
8,18133	-8605
8,19200	-8638
8,20267	-8625
8,21333	-8568
8,22400	-8573
8,23467	-8569
8,24533	-8568
8,25600	-8596
8,26667	-8540
8,27733	-8534
8,28800	-8524
8,29867	-8517
8,30933	-8509
8,32000	-8507
8,33067	-8527
8,34133	-8506
8,35200	-8497
8,36267	-8489
8,37333	-8450
8,38400	-8461
8,39467	-8449
8,40533	-8433
8,41600	-8449
8,42667	-8436
8,43733	-8406
8,44800	-8420
8,45867	-8436
8,46933	-8419
8,48000	-8374
8,49067	-8384
8,50133	-8366
8,51200	-8349
8,52267	-8360
8,53333	-8329
8,54400	-8326
8,55467	-8318
8,56533	-8308
8,57600	-8306
8,58667	-8284
8,59733	-8273
8,60800	-8264
8,61867	-8265
8,62933	-8251
8,64000	-8232
8,65067	-8229
8,66133	-8206
8,67200	-8166
8,68267	-8129
8,69333	-8077
8,70400	-8037
8,71467	-7952
8,72533	-7887
8,73600	-7821
8,74667	-7781
8,75733	-7748
8,76800	-7773
8,77867	-7792
8,78933	-7836
8,80000	-7862
8,81067	-7932
8,82133	-7967
8,83200	-7972
8,84267	-7998
8,85333	-8045
8,86400	-8031
8,87467	-8032
8,88533	-8064
8,89600	-8070
8,90667	-8052
8,91733	-8057
8,92800	-8072
8,93867	-8052
8,94933	-8040
8,96000	-8020
8,97067	-7995
8,98133	-8002
8,99200	-7982
9,00267	-7943
9,01333	-7968
9,02400	-7928
9,03467	-7919
9,04533	-7938
9,05600	-7913
9,06667	-7901
9,07733	-7876
9,08800	-7852
9,09867	-7853
9,10933	-7837
9,12000	-7834
9,13067	-7803
9,14133	-7791
9,15200	-7799
9,16267	-7759
9,17333	-7750
9,18400	-7746
9,19467	-7722
9,20533	-7695
9,21600	-7678
9,22667	-7666
9,23733	-7616
9,24800	-7619
9,25867	-7623
9,26933	-7593
9,28000	-7574
9,29067	-7559
9,30133	-7577
9,31200	-7588
9,32267	-7556
9,33333	-7539
9,34400	-7531
9,35467	-7527
9,36533	-7511
9,37600	-7492
9,38667	-7468
9,39733	-7432
9,40800	-7398
9,41867	-7400
9,42933	-7422
9,44000	-7405
9,45067	-7353
9,46133	-7350
9,47200	-7336
9,48267	-7322
9,49333	-7317
9,50400	-7296
9,51467	-7249
9,52533	-7237
9,53600	-7223
9,54667	-7204
9,55733	-7204
9,56800	-7154
9,57867	-7139
9,58933	-7153
9,60000	-7160
9,61067	-7149
9,62133	-7171
9,63200	-7157
9,64267	-7148
9,65333	-7104
9,66400	-7080
9,67467	-7088
9,68533	-7055
9,69600	-7067
9,70667	-7042
9,71733	-7024
9,72800	-7049
9,73867	-7020
9,74933	-6999
9,76000	-7025
9,77067	-6992
9,78133	-6960
9,79200	-6925
9,80267	-6938
9,81333	-6929
9,82400	-6901
9,83467	-6883
9,84533	-6878
9,85600	-6871
9,86667	-6834
9,87733	-6826
9,88800	-6822
9,89867	-6797
9,90933	-6779
9,92000	-6755
9,93067	-6692
9,94133	-6684
9,95200	-6650
9,96267	-6623
9,97333	-6615
9,98400	-6612
9,99467	-6585
10,00533	-6589
10,01600	-6608
10,02667	-6562
10,03733	-6597
10,04800	-6538
10,05867	-6507
10,06933	-6490
10,08000	-6516
10,09067	-6521
10,10133	-6459
10,11200	-6466
10,12267	-6445
10,13333	-6392
10,14400	-6383
10,15467	-6368
10,16533	-6354
10,17600	-6327
10,18667	-6307
10,19733	-6266
10,20800	-6287
10,21867	-6263
10,22933	-6286
10,24000	-6262
10,25067	-6215
10,26133	-6186
10,27200	-6204
10,28267	-6213
10,29333	-6192
10,30400	-6180
10,31467	-6130
10,32533	-6112
10,33600	-6125
10,34667	-6093
10,35733	-6075
10,36800	-6085
10,37867	-6048
10,38933	-6022
10,40000	-6013
10,41067	-5992
10,42133	-6002
10,43200	-5994
10,44267	-5938
10,45333	-5912
10,46400	-5925
10,47467	-5914
10,48533	-5887
10,49600	-5858
10,50667	-5878
10,51733	-5831
10,52800	-5801
10,53867	-5825
10,54933	-5816
10,56000	-5784
10,57067	-5750
10,58133	-5758
10,59200	-5755
10,60267	-5741
10,61333	-5710
10,62400	-5699
10,63467	-5688
10,64533	-5657
10,65600	-5657
10,66667	-5666
10,67733	-5628
10,68800	-5600
10,69867	-5603
10,70933	-5580
10,72000	-5559
10,73067	-5538
10,74133	-5569
10,75200	-5522
10,76267	-5509
10,77333	-5449
10,78400	-5445
10,79467	-5454
10,80533	-5430
10,81600	-5431
10,82667	-5392
10,83733	-5379
10,84800	-5339
10,85867	-5323
10,86933	-5293
10,88000	-5283
10,89067	-5282
10,90133	-5257
10,91200	-5196
10,92267	-5195
10,93333	-5181
10,94400	-5167
10,95467	-5118
10,96533	-5147
10,97600	-5116
10,98667	-5126
10,99733	-5080
11,00800	-5042
11,01867	-5005
11,02933	-4984
11,04000	-4967
11,05067	-4974
11,06133	-4935
11,07200	-4916
11,08267	-4878
11,09333	-4868
11,10400	-4843
11,11467	-4832
11,12533	-4819
11,13600	-4795
11,14667	-4746
11,15733	-4713
11,16800	-4711
11,17867	-4694
11,18933	-4685
11,20000	-4700
11,21067	-4657
11,22133	-4664
11,23200	-4646
11,24267	-4631
11,25333	-4636
11,26400	-4606
11,27467	-4595
11,28533	-4584
11,29600	-4565
11,30667	-4544
11,31733	-4520
11,32800	-4514
11,33867	-4481
11,34933	-4473
11,36000	-4436
11,37067	-4408
11,38133	-4393
11,39200	-4346
11,40267	-4315
11,41333	-4333
11,42400	-4304
11,43467	-4327
11,44533	-4285
11,45600	-4286
11,46667	-4286
11,47733	-4253
11,48800	-4197
11,49867	-4184
11,50933	-4170
11,52000	-4130
11,53067	-4143
11,54133	-4129
11,55200	-4110
11,56267	-4088
11,57333	-4061
11,58400	-4052
11,59467	-3997
11,60533	-3951
11,61600	-3983
11,62667	-3932
11,63733	-3923
11,64800	-3903
11,65867	-3910
11,66933	-3876
11,68000	-3882
11,69067	-3861
11,70133	-3849
11,71200	-3807
11,72267	-3813
11,73333	-3764
11,74400	-3741
11,75467	-3699
11,76533	-3666
11,77600	-3617
11,78667	-3620
11,79733	-3593
11,80800	-3593
11,81867	-3580
11,82933	-3514
11,84000	-3510
11,85067	-3500
11,86133	-3465
11,87200	-3461
11,88267	-3440
11,89333	-3404
11,90400	-3411
11,91467	-3375
11,92533	-3386
11,93600	-3358
11,94667	-3318
11,95733	-3324
11,96800	-3300
11,97867	-3285
11,98933	-3273
12,00000	-3239
12,01067	-3176
12,02133	-3168
12,03200	-3170
12,04267	-3148
12,05333	-3146
12,06400	-3136
12,07467	-3111
12,08533	-3094
12,09600	-3041
12,10667	-3053
12,11733	-3049
12,12800	-3019
12,13867	-3011
12,14933	-2988
12,16000	-2913
12,17067	-2927
12,18133	-2896
12,19200	-2902
12,20267	-2847
12,21333	-2790
12,22400	-2748
12,23467	-2761
12,24533	-2711
12,25600	-2690
12,26667	-2674
12,27733	-2640
12,28800	-2640
12,29867	-2621
12,30933	-2589
12,32000	-2578
12,33067	-2576
12,34133	-2571
12,35200	-2537
12,36267	-2510
12,37333	-2535
12,38400	-2514
12,39467	-2508
12,40533	-2459
12,41600	-2447
12,42667	-2414
12,43733	-2371
12,44800	-2375
12,45867	-2362
12,46933	-2329
12,48000	-2290
12,49067	-2268
12,50133	-2238
12,51200	-2231
12,52267	-2170
12,53333	-2178
12,54400	-2128
12,55467	-2109
12,56533	-2094
12,57600	-2070
12,58667	-2031
12,59733	-1996
12,60800	-1974
12,61867	-1940
12,62933	-1891
12,64000	-1907
12,65067	-1871
12,66133	-1839
12,67200	-1847
12,68267	-1794
12,69333	-1785
12,70400	-1712
12,71467	-1677
12,72533	-1669
12,73600	-1654
12,74667	-1599
12,75733	-1529
12,76800	-1532
12,77867	-1495
